Category,Live .co.uk URL,New site URL,Status,Action / Notes
Core,/,/,Match,
Core,/pricing/,/pricing,Match,Trailing slash only
Core,/integrations/,/integrations,Match,Trailing slash only
Core,/news/,/news,Match,Trailing slash only
Core,/services/,/services,Match,Trailing slash only
Core,/contact-us/,/contact,301,Slug changed
Core,/privacy-policy/,/privacy,301,Slug changed
Core,/ecommerce-fulfilment/,/services,301,Service page consolidated into /services
Core,/returns-managment/,/services,301,Service page consolidated into /services (live slug has typo)
Core,/thank-you/,/contact,301,Form thank-you page; new forms need their own success state
Core,/value-added-services/,/services,301,Not in live sitemap; keep rule as safety net
Pricing tier,/platinum/,/pricing,301,Tier page removed
Pricing tier,/gold/,/pricing,301,Tier page removed
Pricing tier,/silver/,/pricing,301,Tier page removed
Pricing tier,/bronze/,/pricing,301,Tier page removed
Sector,/beauty-cosmetics-fulfilment/,/sectors,301,Consolidated into /sectors
Sector,/health-supplements-fufilment/,/sectors,301,Consolidated into /sectors
Sector,/pet-animal-supplies-fulfilment/,/sectors,301,Consolidated into /sectors
Sector,/fashion-apparel-fulfilment/,/sectors,301,Consolidated into /sectors
Sector,/electronics-fulfilment/,/sectors,301,Consolidated into /sectors
Sector,/food-drink-fulfilment/,/sectors,301,Consolidated into /sectors
Sector,/stationery-gifts-fulfilment/,/sectors,301,Consolidated into /sectors
Sector,/luxury-goods-fulfilment/,/sectors,301,Consolidated into /sectors
Sector,/music-media-fulfilment/,/sectors,301,Consolidated into /sectors
Sector,/book-fulfilment/,/sectors,301,Consolidated into /sectors
Sector,/subscription-box-fulfilment/,/sectors,301,Consolidated into /sectors
Sector,/sporting-goods-fulfilment/,/sectors,301,Consolidated into /sectors
Sector,/subscription-boxe-fulfilment/,/sectors,301,Typo variant linked from live homepage
Location,/ecommerce-fulfilment-liverpool/,/locations/liverpool,301,Direct equivalent
Integration,/amazon/,/integrations/amazon-fbm,301,Live page covered FBM + SFP; FBM chosen as primary
Integration,/api/,/integrations/custom-api,301,Path + slug change
Integration,/argos/,/integrations/argos,301,Path + slug change
Integration,/bandcamp/,/integrations/bandcamp,301,Path + slug change
Integration,/big-commerce/,/integrations/bigcommerce,301,Path + slug change
Integration,/blue-park/,/integrations/bluepark,301,Path + slug change
Integration,/bright-pearl/,/integrations/brightpearl,301,Path + slug change
Integration,/channel-advisor/,/integrations/channeladvisor,301,Path + slug change
Integration,/cs-cart/,/integrations/cs-cart,301,Path + slug change
Integration,/dear-systems/,/integrations/dear-systems,301,Path + slug change
Integration,/ebay-fulfilment/,/integrations/ebay,301,Path + slug change
Integration,/ecwid/,/integrations/ecwid,301,Path + slug change
Integration,/ekm-power-shop/,/integrations/ekm-powershop,301,Path + slug change
Integration,/fruugo/,/integrations/fruugo,301,Path + slug change
